GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Clinic Pet Web,ru.parsentev.servlets.pet,PetDeleteServlet,0,30,0,0,0,5,0,2,0,2
Clinic Pet Web,ru.parsentev.servlets.pet,PetViewServlet,21,0,0,0,6,0,2,0,2,0
Clinic Pet Web,ru.parsentev.servlets.pet,PetSearchServlet,0,28,0,0,0,5,0,2,0,2
Clinic Pet Web,ru.parsentev.servlets.pet,PetEditServlet,19,41,0,0,4,5,1,2,1,2
Clinic Pet Web,ru.parsentev.servlets.pet,PetCreateServlet,0,45,0,0,0,6,0,2,0,2
Clinic Pet Web,ru.parsentev.models,User,21,0,0,0,8,0,4,0,4,0
Clinic Pet Web,ru.parsentev.models,Dog,16,29,3,3,3,8,6,3,3,3
Clinic Pet Web,ru.parsentev.servlets.user,UserCreateServlet,42,0,0,0,6,0,2,0,2,0
Clinic Pet Web,ru.parsentev.servlets.user,UserViewServlet,21,0,0,0,6,0,2,0,2,0
Clinic Pet Web,ru.parsentev.servlets.user,UserDeleteServlet,30,0,0,0,5,0,2,0,2,0
Clinic Pet Web,ru.parsentev.servlets.user,UserEditServlet,62,0,0,0,10,0,3,0,3,0
Clinic Pet Web,ru.parsentev.store,PetCache,41,65,7,1,7,18,4,11,0,11
Clinic Pet Web,ru.parsentev.store,UserCache,51,0,0,0,12,0,8,0,8,0
